phase_name,dt_s,t_cmd_nm,grade,p_aux_w,time_s,v_mps,v_kph,a_mps2,soc,motor_torque_actual_nm,motor_speed_rpm,battery_power_w,cumulative_energy_kwh,f_roll_n,f_aero_n,f_grade_n,f_drive_n,f_net_n
平路匀速,0.1,12.0,0.0,800.0,10.899999999999977,25.37913593872194,91.36488937939899,-0.05860473119813747,0.8468373310068953,12.0,7426.943592089668,10945.706675954176,0.1897601395862699,194.23800000000003,251.814645186588,0.0,349.35483870967744,-96.69780647691059
平路匀速,0.1,12.0,0.0,800.0,10.999999999999977,25.373282511437207,91.34381704117395,-0.05853427284733925,0.8468322646339607,12.0,7425.230646685652,10943.365538776548,0.190064121962347,194.23800000000003,251.6983889077618,0.0,349.35483870967744,-96.58155019808439
平路匀速,0.1,12.0,0.0,800.0,11.099999999999977,25.36743611989272,91.32277003161379,-0.05846391544487517,0.8468271993435829,12.0,7423.51976021879,10941.027215939012,0.19036803938501198,194.23800000000003,251.58229919371908,0.0,349.35483870967744,-96.46546048404167
平路匀速,0.1,12.0,0.0,800.0,11.199999999999976,25.361596754011632,91.30174831444188,-0.05839365881087133,0.8468221351344609,12.0,7421.810929740199,10938.691703410055,0.19067189193232892,194.23800000000003,251.4663757476218,0.0,349.35483870967744,-96.3495370379444
平路匀速,0.1,12.0,0.0,800.0,11.299999999999976,25.35576440373505,91.28075185344619,-0.05832350276580911,0.8468170720052955,12.0,7420.104152306245,10936.358997165358,0.19097567968225018,194.23800000000003,251.3506182732891,0.0,349.35483870967744,-96.23377956361168
平路匀速,0.1,12.0,0.0,800.0,11.399999999999975,25.349939059021988,91.25978061247916,-0.05825344713063174,0.8468120099547894,12.0,7418.3994249785355,10934.029093187768,0.1912794027126165,194.23800000000003,251.23502647519558,0.0,349.35483870967744,-96.11818776551817
平路匀速,0.1,12.0,0.0,800.0,11.499999999999975,25.344120709849335,91.23883455545761,-0.058183491726531145,0.8468069489816471,12.0,7416.696744823911,10931.701987467271,0.19158306110115728,194.23800000000003,251.1196000584697,0.0,349.35483870967744,-96.00276134879229
平路匀速,0.1,12.0,0.0,800.0,11.599999999999975,25.33830934621181,91.21791364636252,-0.058113636375267674,0.8468018890845749,12.0,7414.996108914428,10929.377676000999,0.19188665492549065,194.23800000000003,251.0043387288919,0.0,349.35483870967744,-95.88750001921449
平路匀速,0.1,12.0,0.0,800.0,11.699999999999974,25.332504958121916,91.1970178492389,-0.05804388089892143,0.846796830262281,12.0,7413.297514327351,10927.056154793205,0.1921901842631238,194.23800000000003,250.889242192893,0.0,349.35483870967744,-95.77240348321558
平路匀速,0.1,12.0,0.0,800.0,11.799999999999974,25.326707535609923,91.17614712819572,-0.05797422511992778,0.8467917725134756,12.0,7411.600958145136,10924.73741985524,0.1924936491914531,194.23800000000003,250.77431015755218,0.0,349.35483870967744,-95.65747144787477
平路匀速,0.1,12.0,0.0,800.0,11.899999999999974,25.32091706872381,91.15530144740572,-0.05790466886114842,0.8467867158368704,12.0,7409.906437455429,10922.42146720555,0.19279704978776435,194.23800000000003,250.65954233059563,0.0,349.35483870967744,-95.54270362091822
平路匀速,0.1,12.0,0.0,800.0,11.999999999999973,25.315133547529218,91.13448077110519,-0.057835211945906906,0.8467816602311792,12.0,7408.213949351044,10920.108292869645,0.19310038612923294,194.23800000000003,250.54493842039454,0.0,349.35483870967744,-95.42809971071713
平路匀速,0.1,12.0,0.0,800.0,12.099999999999973,25.309356962109444,91.113685063594,-0.05776585419773994,0.8467766056951177,12.0,7406.523490929956,10917.797892880099,0.19340365829292405,194.23800000000003,250.43049813596346,0.0,349.35483870967744,-95.31365942628605
平路匀速,0.1,12.0,0.0,800.0,12.199999999999973,25.303587302565365,91.09291428923531,-0.0576965954407882,0.8467715522274032,12.0,7404.835059295289,10915.490263276522,0.19370686635579284,194.23800000000003,250.31622118695887,0.0,349.35483870967744,-95.19938247728146
平路匀速,0.1,12.0,0.0,800.0,12.299999999999972,25.297824559015424,91.07216841245553,-0.05762743549940552,0.846766499826755,12.0,7403.148651555309,10913.185400105556,0.19401001039468466,194.23800000000003,250.20210728367678,0.0,349.35483870967744,-95.08526857399937
平路匀速,0.1,12.0,0.0,800.0,12.399999999999972,25.292068721595584,91.0514473977441,-0.05755837419840759,0.8467614484918942,12.0,7401.464264823404,10910.883299420855,0.19431309048633524,194.23800000000003,250.08815613705187,0.0,349.35483870967744,-94.97131742737446
平路匀速,0.1,12.0,0.0,800.0,12.499999999999972,25.286319780459284,91.03075120965342,-0.0574894113630009,0.8467563982215436,12.0,7399.781896218079,10908.583957283055,0.1946161067073709,194.23800000000003,249.97436745865522,0.0,349.35483870967744,-94.85752874897781
平路匀速,0.1,12.0,0.0,800.0,12.599999999999971,25.280577725777405,91.01007981279866,-0.057420546818782725,0.846751349014428,12.0,7398.101542862947,10906.287369759784,0.19491905913430865,194.23800000000003,249.86074096069288,0.0,349.35483870967744,-94.74390225101547
平路匀速,0.1,12.0,0.0,800.0,12.69999999999997,25.274842547738235,90.98943317185764,-0.05735178039170563,0.8467463008692738,12.0,7396.423201886709,10903.993532925635,0.1952219478435566,194.23800000000003,249.7472763560039,0.0,349.35483870967744,-94.6304376463265
平路匀速,0.1,12.0,0.0,800.0,12.79999999999997,25.269114236547424,90.96881125157073,-0.05728311190811297,0.8467412537848096,12.0,7394.746870423146,10901.70244286214,0.19552477291141387,194.23800000000003,249.63397335805908,0.0,349.35483870967744,-94.51713464838167
平路匀速,0.1,12.0,0.0,800.0,12.89999999999997,25.263392782427953,90.94821401674064,-0.05721454119470337,0.8467362077597653,12.0,7393.072545611119,10899.414095657772,0.19582753441407103,194.23800000000003,249.5208316809589,0.0,349.35483870967744,-94.4039929712815
平路匀速,0.1,12.0,0.0,800.0,12.99999999999997,25.25767817562009,90.92764143223232,-0.05714606807863731,0.846731162792873,12.0,7391.400224594538,10897.12848740792,0.19613023242761013,194.23800000000003,249.4078510394322,0.0,349.35483870967744,-94.29101232975478
